danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.634,0.862,2,-5.337,1,0.0376,0.0287,0,0.0217,0.767,95.989,1zWZvrk13cL8Sl3VLeG57F,227693,4,audio_features,spotify:track:1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F
0.646,0.724,9,-6.96,1,0.0265,0.017,1.39e-06,0.153,0.54,115.984,0p1HtkrNYxv0iDfEKwXSTp,233480,4,audio_features,spotify:track:0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/audio-analysis/0p1HtkrNYxv0iDfEKwXSTp,https://api.spotify.com/v1/tracks/0p1HtkrNYxv0iDfEKwXSTp
0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,5kNe7PE09d6Kvw5pAsx23n,227427,4,audio_features,spotify:track:5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/audio-analysis/5kNe7PE09d6Kvw5pAsx23n,https://api.spotify.com/v1/tracks/5kNe7PE09d6Kvw5pAsx23n
0.443,0.804,10,-6.432,1,0.0406,0.0165,2.89e-06,0.181,0.438,151.928,3UZ9aPaYlBBlAvpdh3kK0U,223800,4,audio_features,spotify:track:3UZ9aPaYlBBlAvpdh3kK0U,https://api.spotify.com/v1/audio-analysis/3UZ9aPaYlBBlAvpdh3kK0U,https://api.spotify.com/v1/tracks/3UZ9aPaYlBBlAvpdh3kK0U
0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.61,90.987,1yEwEiTpsaPhQi9lb5EVV4,203173,4,audio_features,spotify:track:1yEwEiTpsaPhQi9lb5EVV4,https://api.spotify.com/v1/audio-analysis/1yEwEiTpsaPhQi9lb5EVV4,https://api.spotify.com/v1/tracks/1yEwEiTpsaPhQi9lb5EVV4
0.677,0.847,7,-3.608,1,0.0396,0.0458,0,0.0763,0.806,104.944,68A4qiCqD9y39N3WNEsJVD,185093,4,audio_features,spotify:track:68A4qiCqD9y39N3WNEsJVD,https://api.spotify.com/v1/audio-analysis/68A4qiCqD9y39N3WNEsJVD,https://api.spotify.com/v1/tracks/68A4qiCqD9y39N3WNEsJVD
0.747,0.861,8,-5.251,1,0.0514,0.113,0,0.026,0.859,103.966,1TwLKNsCnhi1HxbIi4bAW0,190240,4,audio_features,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/audio-analysis/1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0
0.476,0.857,7,-5.733,1,0.0432,0.113,0,0.135,0.543,169.975,477pWnF7WFWb9Qs6g8rs4J,220200,4,audio_features,spotify:track:477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/audio-analysis/477pWnF7WFWb9Qs6g8rs4J,https://api.spotify.com/v1/tracks/477pWnF7WFWb9Qs6g8rs4J
0.611,0.8,0,-5.61,1,0.0377,0.257,0,0.194,0.527,89.974,5S5rw0WLVCAux5B5bWCehK,209280,4,audio_features,spotify:track:5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/audio-analysis/5S5rw0WLVCAux5B5bWCehK,https://api.spotify.com/v1/tracks/5S5rw0WLVCAux5B5bWCehK
0.514,0.951,9,-3.813,1,0.0603,0.0951,0,0.349,0.838,171.96,3wx2kQWPn9p5UppQbNhPAk,192160,4,audio_features,spotify:track:3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/audio-analysis/3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/tracks/3wx2kQWPn9p5UppQbNhPAk
0.556,0.85,8,-6.329,0,0.0417,0.00109,0,0.278,0.516,155.875,4nrtux8xl5lYegU8II5rAQ,310307,4,audio_features,spotify:track:4nrtux8xl5lYegU8II5rAQ,https://api.spotify.com/v1/audio-analysis/4nrtux8xl5lYegU8II5rAQ,https://api.spotify.com/v1/tracks/4nrtux8xl5lYegU8II5rAQ
